-9,-0.3825
-8.75,-0.5753
-8.5,-0.5903
-8.25,-0.6074
-8,-0.627
-7.75,-0.6441
-7.5,-0.6555
-7.25,-0.6624
-7,-0.6613
-6.75,-0.6454
-6.5,-0.6384
-6.25,-0.6236
-6,-0.6102
-5.75,-0.5927
-5.5,-0.5759
-5.25,-0.5578
-5,-0.5386
-4.75,-0.519
-4.5,-0.4988
-4.25,-0.4783
-4,-0.4578
-3.75,-0.4372
-3.5,-0.4169
-3.25,-0.397
-3,-0.3777
-2.75,-0.3592
-2.5,-0.3412
-2.25,-0.3245
-2,-0.3101
-1.75,-0.2997
-1.5,-0.2877
-1.25,-0.1519
-1,-0.1758
-0.75,-0.1385
-0.5,-0.0886
-0.25,-0.0411
0,0.0025
0.25,0.0438
0.5,0.0823
0.75,0.1194
1,0.1561
1.25,0.1948
1.5,0.2417
1.75,0.2685
2,0.2953
2.25,0.3233
2.5,0.3545
2.75,0.3943
3,0.4365
3.25,0.4573
3.5,0.4806
3.75,0.5071
4,0.5409
4.25,0.5998
4.5,0.6204
4.75,0.6428
5,0.6673
5.25,0.6945
5.5,0.7239
5.75,0.7558
6,0.789
6.25,0.8223
6.5,0.8565
6.75,0.8937
7,0.9352
7.25,0.953
7.5,0.9764
7.75,1.0137
8,1.0253
8.25,1.0584
8.5,1.0672
8.75,1.0937
9,1.1041
9.25,1.1186
9.5,1.1374
9.75,1.1553
10,1.1663
10.25,1.172
10.5,1.1824
10.75,1.2032
11,1.1903
11.25,1.2121
11.5,1.1884
11.75,1.1605
12,1.1237
12.25,1.0714
12.5,1.0139
